,Spot,Um,Cm
1006,DIAUSDT,,
1007,RUNEUSDT,,
1008,FIOUSDT,,
1009,UMABTC,,
1010,UMAUSDT,,
1011,EOSUPUSDT,,
1012,EOSDOWNUSDT,,
1013,TRXUPUSDT,,
1014,TRXDOWNUSDT,,
1015,XRPUPUSDT,,
1016,XRPDOWNUSDT,,
1017,DOTUPUSDT,,
1018,DOTDOWNUSDT,,
1019,SRMBIDR,,
1020,ONEBIDR,,
1021,LINKTRY,,
1022,USDTNGN,,
1023,BELBNB,,
1024,BELBTC,,
1025,BELBUSD,,
1026,BELUSDT,,
1027,WINGBNB,,
1028,WINGBTC,,
1029,SWRVBNB,,
1030,SWRVBUSD,,
1031,WINGBUSD,,
1032,WINGUSDT,,
1033,LTCUPUSDT,,
1034,LTCDOWNUSDT,,
1035,LENDBKRW,,
1036,SXPEUR,,
1037,CREAMBNB,,
1038,CREAMBUSD,,
1039,UNIBNB,,
1040,UNIBTC,,
1041,UNIBUSD,,
1042,UNIUSDT,,
1043,NBSBTC,,
1044,NBSUSDT,,
1045,OXTBTC,,
1046,OXTUSDT,,
1047,SUNBTC,,
1048,SUNUSDT,,
1049,AVAXBNB,,
1050,AVAXBTC,,
1051,AVAXBUSD,,
1052,AVAXUSDT,,
1053,HNTBTC,,
1054,HNTUSDT,,
1055,BAKEBNB,,
1056,BURGERBNB,,
1057,SXPBIDR,,
1058,LINKBKRW,,
1059,FLMBNB,,
1060,FLMBTC,,
1061,FLMBUSD,,
1062,FLMUSDT,,
1063,SCRTBTC,,
1064,SCRTETH,,
1065,CAKEBNB,,
1066,CAKEBUSD,,
1067,SPARTABNB,,
1068,UNIUPUSDT,,
1069,UNIDOWNUSDT,,
1070,ORNBTC,,
1071,ORNUSDT,,
1072,TRXNGN,,
1073,SXPTRY,,
1074,UTKBTC,,
1075,UTKUSDT,,
1076,XVSBNB,,
1077,XVSBTC,,
1078,XVSBUSD,,
1079,XVSUSDT,,
1080,ALPHABNB,,
1081,ALPHABTC,,
1082,ALPHABUSD,,
1083,ALPHAUSDT,,
1084,VIDTBTC,,
1085,VIDTBUSD,,
1086,AAVEBNB,,
1087,BTCBRL,,
1088,USDTBRL,,
1089,AAVEBTC,,
1090,AAVEETH,,
1091,AAVEBUSD,,
1092,AAVEUSDT,,
1093,AAVEBKRW,,
1094,NEARBNB,,
1095,NEARBTC,,
1096,NEARBUSD,,
1097,NEARUSDT,,
1098,SXPUPUSDT,,
1099,SXPDOWNUSDT,,
1100,DOTBKRW,,
1101,SXPGBP,,
1102,FILBNB,,
1103,FILBTC,,
1104,FILBUSD,,
1105,FILUSDT,,
1106,FILUPUSDT,,
1107,FILDOWNUSDT,,
1108,YFIUPUSDT,,
1109,YFIDOWNUSDT,,
1110,INJBNB,,
1111,INJBTC,,
1112,INJBUSD,,
1113,INJUSDT,,
1114,AERGOBTC,,
1115,AERGOBUSD,,
1116,LINKEUR,,
1117,ONEBUSD,,
1118,EASYETH,,
1119,AUDIOBTC,,
1120,AUDIOBUSD,,
1121,AUDIOUSDT,,
1122,CTKBNB,,
1123,CTKBTC,,
1124,CTKBUSD,,
1125,CTKUSDT,,
1126,BCHUPUSDT,,
1127,BCHDOWNUSDT,,
1128,BOTBTC,,
1129,BOTBUSD,,
1130,ETHBRL,,
1131,DOTEUR,,
1132,AKROBTC,,
1133,AKROUSDT,,
1134,KP3RBNB,,
1135,KP3RBUSD,,
1136,AXSBNB,,
1137,AXSBTC,,
1138,AXSBUSD,,
1139,AXSUSDT,,
1140,HARDBNB,,
1141,HARDBTC,,
1142,HARDBUSD,,
1143,HARDUSDT,,
1144,BNBBRL,,
1145,LTCEUR,,
1146,RENBTCBTC,,
1147,RENBTCETH,,
1148,DNTBUSD,,
1149,DNTUSDT,,
1150,SLPETH,,
1151,ADAEUR,,
1152,LTCNGN,,
1153,CVPETH,,
1154,CVPBUSD,,
1155,STRAXBTC,,
1156,STRAXETH,,
1157,STRAXBUSD,,
1158,STRAXUSDT,,
1159,FORBTC,,
1160,FORBUSD,,
1161,UNFIBNB,,
1162,UNFIBTC,,
1163,UNFIBUSD,,
1164,UNFIUSDT,,
1165,FRONTETH,,
1166,FRONTBUSD,,
1167,BCHABUSD,,
1168,ROSEBTC,,
1169,ROSEBUSD,,
1170,ROSEUSDT,,
1171,AVAXTRY,,
1172,BUSDBRL,,
1173,AVAUSDT,,
1174,SYSBUSD,,
1175,XEMUSDT,,
1176,HEGICETH,,
1177,HEGICBUSD,,
1178,AAVEUPUSDT,,
1179,AAVEDOWNUSDT,,
1180,PROMBNB,,
1181,PROMBUSD,,
1182,XRPBRL,,
1183,XRPNGN,,
1184,SKLBTC,,
1185,SKLBUSD,,
1186,SKLUSDT,,
1187,BCHEUR,,
1188,YFIEUR,,
1189,ZILBIDR,,
1190,SUSDBTC,,
1191,SUSDETH,,
1192,SUSDUSDT,,
1193,COVERETH,,
1194,COVERBUSD,,
1195,GLMBTC,,
1196,GLMETH,,
1197,GHSTETH,,
1198,GHSTBUSD,,
1199,SUSHIUPUSDT,,
1200,SUSHIDOWNUSDT,,
1201,XLMUPUSDT,,
1202,XLMDOWNUSDT,,
1203,LINKBRL,,
1204,LINKNGN,,
1205,LTCRUB,,
1206,TRXTRY,,
1207,XLMEUR,,
1208,DFETH,,
1209,DFBUSD,,
1210,GRTBTC,,
1211,GRTETH,,
1212,GRTUSDT,,
1213,JUVBTC,,
1214,JUVBUSD,,
1215,JUVUSDT,,
1216,PSGBTC,,
1217,PSGBUSD,,
1218,PSGUSDT,,
1219,BUSDBVND,,
1220,USDTBVND,,
1221,1INCHBTC,,
1222,1INCHUSDT,,
1223,REEFBTC,,
1224,REEFUSDT,,
1225,OGBTC,,
1226,OGUSDT,,
1227,ATMBTC,,
1228,ATMUSDT,,
1229,ASRBTC,,
1230,ASRUSDT,,
1231,CELOBTC,,
1232,CELOUSDT,,
1233,RIFBTC,,
1234,RIFUSDT,,
1235,CHZTRY,,
1236,XLMTRY,,
1237,LINKGBP,,
1238,GRTEUR,,
1239,BTCSTBTC,,
1240,BTCSTBUSD,,
1241,BTCSTUSDT,,
1242,TRUBTC,,
1243,TRUBUSD,,
1244,TRUUSDT,,
1245,DEXEETH,,
1246,DEXEBUSD,,
1247,EOSEUR,,
1248,LTCBRL,,
1249,USDCBUSD,,
1250,TUSDBUSD,,
1251,PAXBUSD,,
1252,CKBBTC,,
1253,CKBBUSD,,
1254,CKBUSDT,,
1255,TWTBTC,,
1256,TWTBUSD,,
1257,TWTUSDT,,
1258,FIROBTC,,
1259,FIROETH,,
1260,FIROUSDT,,
1261,BETHETH,,
1262,DOGEEUR,,
1263,DOGETRY,,
1264,DOGEAUD,,
1265,DOGEBRL,,
1266,DOTNGN,,
1267,PROSETH,,
1268,LITBTC,,
1269,LITBUSD,,
1270,LITUSDT,,
1271,BTCVAI,,
1272,BUSDVAI,,
1273,SFPBTC,,
1274,SFPBUSD,,
1275,SFPUSDT,,
1276,DOGEGBP,,
1277,DOTTRY,,
1278,FXSBTC,,
1279,FXSBUSD,,
1280,DODOBTC,,
1281,DODOBUSD,,
1282,DODOUSDT,,
1283,FRONTBTC,,
1284,EASYBTC,,
1285,CAKEBTC,,
1286,CAKEUSDT,,
1287,BAKEBUSD,,
1288,UFTETH,,
1289,UFTBUSD,,
1290,1INCHBUSD,,
1291,BANDBUSD,,
1292,GRTBUSD,,
1293,IOSTBUSD,,
1294,OMGBUSD,,
1295,REEFBUSD,,
1296,ACMBTC,,
1297,ACMBUSD,,
1298,ACMUSDT,,
1299,AUCTIONBTC,,
1300,AUCTIONBUSD,,
1301,PHABTC,,
1302,PHABUSD,,
1303,DOTGBP,,
1304,ADATRY,,
1305,ADABRL,,
1306,ADAGBP,,
1307,TVKBTC,,
1308,TVKBUSD,,
1309,BADGERBTC,,
1310,BADGERBUSD,,
1311,BADGERUSDT,,
1312,FISBTC,,
1313,FISBUSD,,
1314,FISUSDT,,
1315,DOTBRL,,
1316,ADAAUD,,
1317,HOTTRY,,
1318,EGLDEUR,,
1319,OMBTC,,
1320,OMBUSD,,
1321,OMUSDT,,
1322,PONDBTC,,
1323,PONDBUSD,,
1324,PONDUSDT,,
1325,DEGOBTC,,
1326,DEGOBUSD,,
1327,DEGOUSDT,,
1328,AVAXEUR,,
1329,BTTTRY,,
1330,CHZBRL,,
1331,UNIEUR,,
1332,ALICEBTC,,
1333,ALICEBUSD,,
1334,ALICEUSDT,,
1335,CHZBUSD,,
1336,CHZEUR,,
1337,CHZGBP,,
1338,BIFIBNB,,
1339,BIFIBUSD,,
1340,LINABTC,,
1341,LINABUSD,,
1342,LINAUSDT,,
1343,ADARUB,,
1344,ENJBRL,,
1345,ENJEUR,,
1346,MATICEUR,,
1347,NEOTRY,,
1348,PERPBTC,,
1349,PERPBUSD,,
1350,PERPUSDT,,
1351,RAMPBTC,,
1352,RAMPBUSD,,
1353,RAMPUSDT,,
1354,SUPERBTC,,
1355,SUPERBUSD,,
1356,SUPERUSDT,,
1357,CFXBTC,,
1358,CFXBUSD,,
1359,CFXUSDT,,
1360,ENJGBP,,
1361,EOSTRY,,
1362,LTCGBP,,
1363,LUNAEUR,,
1364,RVNTRY,,
1365,THETAEUR,,
1366,XVGBUSD,,
1367,EPSBTC,,
1368,EPSBUSD,,
1369,EPSUSDT,,
1370,AUTOBTC,,
1371,AUTOBUSD,,
1372,AUTOUSDT,,
1373,TKOBTC,,
1374,TKOBIDR,,
1375,TKOBUSD,,
1376,TKOUSDT,,
1377,PUNDIXETH,,
1378,PUNDIXUSDT,,
1379,BTTBRL,,
1380,BTTEUR,,
1381,HOTEUR,,
1382,WINEUR,,
1383,TLMBTC,,
1384,TLMBUSD,,
1385,TLMUSDT,,
1386,1INCHUPUSDT,,
1387,1INCHDOWNUSDT,,
1388,BTGBUSD,,
1389,BTGUSDT,,
1390,HOTBUSD,,
1391,BNBUAH,,
1392,ONTTRY,,
1393,VETEUR,,
1394,VETGBP,,
1395,WINBRL,,
1396,MIRBTC,,
1397,MIRBUSD,,
1398,MIRUSDT,,
1399,BARBTC,,
1400,BARBUSD,,
1401,BARUSDT,,
1402,FORTHBTC,,
1403,FORTHBUSD,,
1404,FORTHUSDT,,
1405,CAKEGBP,,
1406,DOGERUB,,
1407,HOTBRL,,
1408,WRXEUR,,
1409,EZBTC,,
1410,EZETH,,
1411,BAKEUSDT,,
1412,BURGERBUSD,,
1413,BURGERUSDT,,
1414,SLPBUSD,,
1415,SLPUSDT,,
1416,TRXAUD,,
1417,TRXEUR,,
1418,VETTRY,,
1419,SHIBUSDT,,
1420,SHIBBUSD,,
1421,ICPBTC,,
1422,ICPBNB,,
1423,ICPBUSD,,
1424,ICPUSDT,,
1425,SHIBEUR,,
1426,SHIBRUB,,
1427,ETCEUR,,
1428,ETCBRL,,
1429,DOGEBIDR,,
1430,ARBTC,,
1431,ARBNB,,
1432,ARBUSD,,
1433,ARUSDT,,
1434,POLSBTC,,
1435,POLSBNB,,
1436,POLSBUSD,,
1437,POLSUSDT,,
1438,MDXBTC,,
1439,MDXBNB,,
1440,MDXBUSD,,
1441,MDXUSDT,,
1442,MASKBNB,,
1443,MASKBUSD,,
1444,MASKUSDT,,
1445,LPTBTC,,
1446,LPTBNB,,
1447,LPTBUSD,,
1448,LPTUSDT,,
1449,ETHUAH,,
1450,MATICBRL,,
1451,SOLEUR,,
1452,SHIBBRL,,
1453,AGIXBTC,,
1454,ICPEUR,,
1455,MATICGBP,,
1456,SHIBTRY,,
1457,MATICBIDR,,
1458,MATICRUB,,
1459,NUBTC,,
1460,NUBNB,,
1461,NUBUSD,,
1462,NUUSDT,,
1463,XVGUSDT,,
1464,RLCBUSD,,
1465,CELRBUSD,,
1466,ATMBUSD,,
1467,ZENBUSD,,
1468,FTMBUSD,,
1469,THETABUSD,,
1470,WINBUSD,,
1471,KAVABUSD,,
1472,XEMBUSD,,
1473,ATABTC,,
1474,ATABNB,,
1475,ATABUSD,,
1476,ATAUSDT,,
1477,GTCBTC,,
1478,GTCBNB,,
1479,GTCBUSD,,
1480,GTCUSDT,,
1481,TORNBTC,,
1482,TORNBNB,,
1483,TORNBUSD,,
1484,TORNUSDT,,
1485,MATICTRY,,
1486,ETCGBP,,
1487,SOLGBP,,
1488,BAKEBTC,,
1489,COTIBUSD,,
1490,KEEPBTC,,
1491,KEEPBNB,,
1492,KEEPBUSD,,
1493,KEEPUSDT,,
1494,SOLTRY,,
1495,RUNEGBP,,
1496,SOLBRL,,
1497,SCBUSD,,
1498,CHRBUSD,,
1499,STMXBUSD,,
1500,HNTBUSD,,
1501,FTTBUSD,,
1502,DOCKBUSD,,
1503,ADABIDR,,
1504,ERNBNB,,
1505,ERNBUSD,,
1506,ERNUSDT,,
1507,KLAYBTC,,
1508,KLAYBNB,,
1509,KLAYBUSD,,
1510,KLAYUSDT,,
1511,RUNEEUR,,
1512,MATICAUD,,
1513,DOTRUB,,
1514,UTKBUSD,,
1515,IOTXBUSD,,
1516,PHAUSDT,,
1517,SOLRUB,,
1518,RUNEAUD,,
1519,BUSDUAH,,
1520,BONDBTC,,
1521,BONDBNB,,
1522,BONDBUSD,,
1523,BONDUSDT,,
1524,MLNBTC,,
1525,MLNBNB,,
1526,MLNBUSD,,
1527,MLNUSDT,,
1528,GRTTRY,,
1529,CAKEBRL,,
1530,ICPRUB,,
1531,DOTAUD,,
1532,AAVEBRL,,
1533,EOSAUD,,
1534,DEXEUSDT,,
1535,LTOBUSD,,
1536,ADXBUSD,,
1537,QUICKBTC,,
1538,QUICKBNB,,
1539,QUICKBUSD,,
1540,C98USDT,,
1541,C98BUSD,,
1542,C98BNB,,
1543,C98BTC,,
1544,CLVBTC,,
1545,CLVBNB,,
1546,CLVBUSD,,
1547,CLVUSDT,,
1548,QNTBTC,,
1549,QNTBNB,,
1550,QNTBUSD,,
1551,QNTUSDT,,
1552,FLOWBTC,,
1553,FLOWBNB,,
1554,FLOWBUSD,,
1555,FLOWUSDT,,
1556,XECBUSD,,
1557,AXSBRL,,
1558,AXSAUD,,
1559,TVKUSDT,,
1560,MINABTC,,
1561,MINABNB,,
1562,MINABUSD,,
1563,MINAUSDT,,
1564,RAYBNB,,
1565,RAYBUSD,,
1566,RAYUSDT,,
1567,FARMBTC,,
1568,FARMBNB,,
1569,FARMBUSD,,
1570,FARMUSDT,,
1571,ALPACABTC,,
1572,ALPACABNB,,
1573,ALPACABUSD,,
1574,ALPACAUSDT,,
1575,TLMTRY,,
1576,QUICKUSDT,,
1577,ORNBUSD,,
1578,MBOXBTC,,
1579,MBOXBNB,,
1580,MBOXBUSD,,
1581,MBOXUSDT,,
1582,VGXBTC,,
1583,VGXETH,,
1584,FORUSDT,,
1585,REQUSDT,,
1586,GHSTUSDT,,
1587,TRURUB,,
1588,FISBRL,,
1589,WAXPUSDT,,
1590,WAXPBUSD,,
1591,WAXPBNB,,
1592,WAXPBTC,,
1593,TRIBEBTC,,
1594,TRIBEBNB,,
1595,TRIBEBUSD,,
1596,TRIBEUSDT,,
1597,GNOUSDT,,
1598,GNOBUSD,,
1599,GNOBNB,,
1600,GNOBTC,,
1601,ARPATRY,,
1602,PROMBTC,,
1603,MTLBUSD,,
1604,OGNBUSD,,
1605,XECUSDT,,
1606,C98BRL,,
1607,SOLAUD,,
1608,XRPBIDR,,
1609,POLYBUSD,,
1610,ELFUSDT,,
1611,DYDXUSDT,,
1612,DYDXBUSD,,
1613,DYDXBNB,,
1614,DYDXBTC,,
1615,ELFBUSD,,
1616,POLYUSDT,,
1617,IDEXUSDT,,
1618,VIDTUSDT,,
1619,SOLBIDR,,
1620,BTCUSDP,,
1621,ETHUSDP,,
1622,BNBUSDP,,
1623,USDPBUSD,,
1624,USDPUSDT,,
1625,GALAUSDT,,
1626,GALABUSD,,
1627,GALABNB,,
1628,GALABTC,,
1629,FTMBIDR,,
1630,ALGOBIDR,,
1631,CAKEAUD,,
1632,KSMAUD,,
1633,WAVESRUB,,
1634,SUNBUSD,,
1635,ILVUSDT,,
1636,ILVBUSD,,
1637,ILVBNB,,
1638,ILVBTC,,
1639,RENBUSD,,
1640,YGGUSDT,,
1641,YGGBUSD,,
1642,YGGBNB,,
1643,YGGBTC,,
1644,STXBUSD,,
1645,SYSUSDT,,
1646,DFUSDT,,
1647,SOLUSDC,,
1648,ARPARUB,,
1649,LTCUAH,,
1650,FETBUSD,,
1651,ARPABUSD,,
1652,LSKBUSD,,
1653,AVAXBIDR,,
1654,ALICEBIDR,,
1655,FIDAUSDT,,
1656,FIDABUSD,,
1657,FIDABNB,,
1658,FIDABTC,,
1659,DENTBUSD,,
1660,FRONTUSDT,,
1661,CVPUSDT,,
1662,AGLDBTC,,
1663,AGLDBNB,,
1664,AGLDBUSD,,
1665,AGLDUSDT,,
1666,RADBTC,,
1667,RADBNB,,
1668,RADBUSD,,
1669,RADUSDT,,
1670,UNIAUD,,
1671,HIVEBUSD,,
1672,STPTBUSD,,
1673,BETABTC,,
1674,BETABNB,,
1675,BETABUSD,,
1676,BETAUSDT,,
1677,SHIBAUD,,
1678,RAREBTC,,
1679,RAREBNB,,
1680,RAREBUSD,,
1681,RAREUSDT,,
1682,AVAXBRL,,
1683,AVAXAUD,,
1684,LUNAAUD,,
1685,TROYBUSD,,
1686,AXSETH,,
1687,FTMETH,,
1688,SOLETH,,
1689,SSVBTC,,
1690,SSVETH,,
1691,LAZIOTRY,,
1692,LAZIOEUR,,
1693,LAZIOBTC,,
1694,LAZIOUSDT,,
1695,CHESSBTC,,
1696,CHESSBNB,,
1697,CHESSBUSD,,
1698,CHESSUSDT,,
1699,FTMAUD,,
1700,FTMBRL,,
1701,SCRTBUSD,,
1702,ADXUSDT,,
1703,AUCTIONUSDT,,
1704,CELOBUSD,,
1705,FTMRUB,,
1706,NUAUD,,
1707,NURUB,,
1708,REEFTRY,,
1709,REEFBIDR,,
1710,SHIBDOGE,,
1711,DARUSDT,,
1712,DARBUSD,,
1713,DARBNB,,
1714,DARBTC,,
1715,BNXBTC,,
1716,BNXBNB,,
1717,BNXBUSD,,
1718,BNXUSDT,,
1719,RGTUSDT,,
1720,RGTBTC,,
1721,RGTBUSD,,
1722,RGTBNB,,
1723,LAZIOBUSD,,
1724,OXTBUSD,,
1725,MANATRY,,
1726,ALGORUB,,
1727,SHIBUAH,,
1728,LUNABIDR,,
1729,AUDUSDC,,
1730,MOVRBTC,,
1731,MOVRBNB,,
1732,MOVRBUSD,,
1733,MOVRUSDT,,
1734,CITYBTC,,
1735,CITYBNB,,
1736,CITYBUSD,,
1737,CITYUSDT,,
1738,ENSBTC,,
1739,ENSBNB,,
1740,ENSBUSD,,
1741,ENSUSDT,,
1742,SANDETH,,
1743,DOTETH,,
1744,MATICETH,,
1745,ANKRBUSD,,
1746,SANDTRY,,
1747,MANABRL,,
1748,KP3RUSDT,,
1749,QIUSDT,,
1750,QIBUSD,,
1751,QIBNB,,
1752,QIBTC,,
1753,PORTOBTC,,
1754,PORTOUSDT,,
1755,PORTOTRY,,
1756,PORTOEUR,,
1757,POWRUSDT,,
1758,POWRBUSD,,
1759,AVAXETH,,
1760,SLPTRY,,
1761,FISTRY,,
1762,LRCTRY,,
1763,CHRETH,,
1764,FISBIDR,,
1765,VGXUSDT,,
1766,GALAETH,,
1767,JASMYUSDT,,
1768,JASMYBUSD,,
1769,JASMYBNB,,
1770,JASMYBTC,,
1771,AMPBTC,,
1772,AMPBNB,,
1773,AMPBUSD,,
1774,AMPUSDT,,
1775,PLABTC,,
1776,PLABNB,,
1777,PLABUSD,,
1778,PLAUSDT,,
1779,PYRBTC,,
1780,PYRBUSD,,
1781,PYRUSDT,,
1782,RNDRBTC,,
1783,RNDRUSDT,,
1784,RNDRBUSD,,
1785,ALCXBTC,,
1786,ALCXBUSD,,
1787,ALCXUSDT,,
1788,SANTOSBTC,,
1789,SANTOSUSDT,,
1790,SANTOSBRL,,
1791,SANTOSTRY,,
1792,MCBTC,,
1793,MCBUSD,,
1794,MCUSDT,,
1795,BELTRY,,
1796,COCOSBUSD,,
1797,DENTTRY,,
1798,ENJTRY,,
1799,NEORUB,,
1800,SANDAUD,,
1801,SLPBIDR,,
1802,ANYBTC,,
1803,ANYBUSD,,
1804,ANYUSDT,,
1805,BICOBTC,,
1806,BICOBUSD,,
1807,BICOUSDT,,
1808,FLUXBTC,,
1809,FLUXBUSD,,
1810,FLUXUSDT,,
1811,ALICETRY,,
1812,FXSUSDT,,
1813,GALABRL,,
1814,GALATRY,,
1815,LUNATRY,,
1816,REQBUSD,,
1817,SANDBRL,,
1818,MANABIDR,,
1819,SANDBIDR,,
1820,VOXELBTC,,
1821,VOXELBNB,,
1822,VOXELBUSD,,
1823,VOXELUSDT,,
1824,COSBUSD,,
1825,CTXCBUSD,,
1826,FTMTRY,,
1827,MANABNB,,
1828,MINATRY,,
1829,XTZTRY,,
1830,HIGHBTC,,
1831,HIGHBUSD,,
1832,HIGHUSDT,,
1833,CVXBTC,,
1834,CVXBUSD,,
1835,CVXUSDT,,
1836,PEOPLEBTC,,
1837,PEOPLEBUSD,,
1838,PEOPLEUSDT,,
1839,OOKIBUSD,,
1840,OOKIUSDT,,
1841,COCOSTRY,,
1842,GXSBNB,,
1843,LINKBNB,,
1844,LUNAETH,,
1845,MDTBUSD,,
1846,NULSBUSD,,
1847,SPELLBTC,,
1848,SPELLUSDT,,
1849,SPELLBUSD,,
1850,USTBTC,,
1851,USTBUSD,,
1852,USTUSDT,,
1853,JOEBTC,,
1854,JOEBUSD,,
1855,JOEUSDT,,
1856,ATOMETH,,
1857,DUSKBUSD,,
1858,EGLDETH,,
1859,ICPETH,,
1860,LUNABRL,,
1861,LUNAUST,,
1862,NEARETH,,
1863,ROSEBNB,,
1864,VOXELETH,,
1865,ALICEBNB,,
1866,ATOMTRY,,
1867,ETHUST,,
1868,GALAAUD,,
1869,LRCBNB,,
1870,ONEETH,,
1871,OOKIBNB,,
1872,ACHBTC,,
1873,ACHBUSD,,
1874,ACHUSDT,,
1875,IMXBTC,,
1876,IMXBUSD,,
1877,IMXUSDT,,
1878,GLMRBTC,,
1879,GLMRBUSD,,
1880,GLMRUSDT,,
1881,ATOMBIDR,,
1882,DYDXETH,,
1883,FARMETH,,
1884,FORBNB,,
1885,ICPTRY,,
1886,JASMYETH,,
1887,LINABNB,,
1888,OOKIETH,,
1889,ROSEETH,,
1890,UMABUSD,,
1891,UNIETH,,
1892,XTZETH,,
1893,LOKABTC,,
1894,LOKABNB,,
1895,LOKABUSD,,
1896,LOKAUSDT,,
1897,ATOMBRL,,
1898,BNBUST,,
1899,CRVETH,,
1900,HIGHBNB,,
1901,NEARRUB,,
1902,ROSETRY,,
1903,SCRTUSDT,,
1904,API3BTC,,
1905,API3BUSD,,
1906,API3USDT,,
1907,BTTCUSDT,,
1908,BTTCUSDC,,
1909,BTTCTRY,,
1910,ACABTC,,
1911,ACABUSD,,
1912,ACAUSDT,,
1913,ANCBTC,,
1914,ANCBUSD,,
1915,ANCUSDT,,
1916,BDOTDOT,,
1917,XNOBTC,,
1918,XNOETH,,
1919,XNOBUSD,,
1920,XNOUSDT,,
1921,COSTRY,,
1922,KAVAETH,,
1923,MCBNB,,
1924,ONETRY,,
1925,WOOBTC,,
1926,WOOBNB,,
1927,WOOBUSD,,
1928,WOOUSDT,,
1929,CELRETH,,
1930,PEOPLEBNB,,
1931,SLPBNB,,
1932,SPELLBNB,,
1933,SPELLTRY,,
1934,TFUELBUSD,,
1935,AXSTRY,,
1936,DARTRY,,
1937,NEARTRY,,
1938,IDEXBNB,,
1939,ALPINEEUR,,
1940,ALPINETRY,,
1941,ALPINEUSDT,,
1942,ALPINEBTC,,
1943,TUSDT,,
1944,TBUSD,,
1945,API3BNB,,
1946,BETAETH,,
1947,INJTRY,,
1948,TLMBNB,,
1949,ASTRBUSD,,
1950,ASTRUSDT,,
1951,API3TRY,,
1952,GLMRBNB,,
1953,MBOXTRY,,
1954,GMTBTC,,
1955,GMTBNB,,
1956,GMTBUSD,,
1957,GMTUSDT,,
1958,ANCBNB,,
1959,ATOMEUR,,
1960,GALAEUR,,
1961,KSMETH,,
1962,UMATRY,,
1963,KDABTC,,
1964,KDABUSD,,
1965,KDAUSDT,,
1966,APEUSDT,,
1967,APEBUSD,,
1968,APEBTC,,
1969,ALPINEBUSD,,
1970,LUNAGBP,,
1971,NEAREUR,,
1972,TWTTRY,,
1973,WAVESEUR,,
1974,APEEUR,,
1975,APEGBP,,
1976,APETRY,,
1977,BSWUSDT,,
1978,BSWBUSD,,
1979,BSWBNB,,
1980,APEBNB,,
1981,GMTBRL,,
1982,GMTETH,,
1983,JASMYTRY,,
1984,SANTOSBUSD,,
1985,APEAUD,,
1986,BIFIUSDT,,
1987,GMTEUR,,
1988,IMXBNB,,
1989,RUNEETH,,
1990,AVAXGBP,,
1991,MULTIBTC,,
1992,MULTIBUSD,,
1993,MULTIUSDT,,
1994,APEETH,,
1995,BSWETH,,
1996,FILTRY,,
1997,FTMEUR,,
1998,GMTGBP,,
1999,ZILTRY,,
2000,GMTTRY,,
2001,WAVESTRY,,
2002,BTCUST,,
2003,ASTRBTC,,
2004,ASTRETH,,
2005,BSWTRY,,
2006,FTTETH,,
2007,FUNBNB,,
2008,PORTOBUSD,,
2009,STEEMUSDT,,
2010,ZILEUR,,
2011,APEBRL,,
2012,AUDIOTRY,,
2013,BTTCBUSD,,
2014,GMTAUD,,
2015,MBLBUSD,,
2016,MOBUSDT,,
2017,MOBBUSD,,
2018,MOBBTC,,
2019,NEXOUSDT,,
2020,NEXOBUSD,,
2021,NEXOBTC,,
2022,REIUSDT,,
2023,REIBNB,,
2024,REIETH,,
2025,GALUSDT,,
2026,GALBUSD,,
2027,GALBNB,,
2028,GALBTC,,
2029,JASMYEUR,,
2030,KNCBNB,,
2031,SHIBGBP,,
2032,GALEUR,,
2033,GALTRY,,
2034,LDOBUSD,,
2035,LDOUSDT,,
2036,LDOBTC,,
2037,ENSTRY,,
2038,DAREUR,,
2039,DARETH,,
2040,ALGOETH,,
2041,ALGOTRY,,
2042,GALETH,,
2043,EPXUSDT,,
2044,EPXBUSD,,
2045,RUNETRY,,
2046,GALBRL,,
2047,STEEMBUSD,,
2048,CVCBUSD,,
2049,REIBUSD,,
2050,DREPBUSD,,
2051,AKROBUSD,,
2052,PUNDIXBUSD,,
2053,LUNCBUSD,,
2054,USTCBUSD,,
2055,OPBTC,,
2056,OPBUSD,,
2057,OPUSDT,,
2058,OGBUSD,,
2059,KEYBUSD,,
2060,ASRBUSD,,
2061,FIROBUSD,,
2062,NKNBUSD,,
2063,OPBNB,,
2064,OPEUR,,
2065,GTOBUSD,,
2066,SNXETH,,
2067,WBTCBUSD,,
2068,BELETH,,
2069,LITETH,,
2070,LEVERUSDT,,
2071,LEVERBUSD,,
2072,BURGERETH,,
2073,PEOPLEETH,,
2074,UNFIETH,,
2075,BONDETH,,
2076,STORJTRY,,
2077,OPETH,,
2078,ETCTRY,,
2079,WINGETH,,
2080,FILETH,,
2081,GLMBUSD,,
2082,SSVBUSD,,
2083,STGBTC,,
2084,STGBUSD,,
2085,STGUSDT,,
2086,ANKRTRY,,
2087,ARKBUSD,,
2088,BETHBUSD,,
2089,LOOMBUSD,,
2090,SNMBUSD,,
2091,AMBBUSD,,
2092,LUNCUSDT,,
2093,PHBBUSD,,
2094,GASBUSD,,
2095,NEBLBUSD,,
2096,PROSBUSD,,
2097,VIBBUSD,,
2098,GMXBTC,,
2099,GMXBUSD,,
2100,GMXUSDT,,
2101,AGIXBUSD,,
2102,NEBLUSDT,,
2103,SNTBUSD,,
2104,POLYXBTC,,
2105,POLYXBUSD,,
2106,POLYXUSDT,,
2107,APTBTC,,
2108,APTUSDT,,
2109,APTBUSD,,
