,Spot,Um,Cm
144,POEETH,YGGUSDT,
145,QSPBTC,AXSUSDT,
146,QSPETH,AUCTIONBUSD,
147,QSPBNB,APTBUSD,
148,BTSBTC,CELRUSDT,
149,BTSETH,MDTUSDT,
150,BTSBNB,QTUMUSDT,
151,XZCBTC,LUNA2USDT,
152,XZCETH,BTCUSDT,
153,XZCBNB,MATICUSDT,
154,LSKBTC,LTCUSDT,
155,LSKETH,EOSUSDT,
156,LSKBNB,LINAUSDT,
157,TNTBTC,1000FLOKIUSDT,
158,TNTETH,ETCBUSD,
159,FUELBTC,XVSUSDT,
160,FUELETH,NKNUSDT,
161,MANABTC,XMRUSDT,
162,MANAETH,XRPUSDT,
163,BCDBTC,LDOUSDT,
164,BCDETH,WAVESBUSD,
165,DGDBTC,RAYUSDT,
166,DGDETH,1000XECUSDT,
167,IOTABNB,APTUSDT,
168,ADXBTC,COMBOUSDT,
169,ADXETH,AGIXBUSD,
170,ADXBNB,SANDBUSD,
171,ADABTC,HNTUSDT,
172,ADAETH,OXTUSDT,
173,PPTBTC,QNTUSDT,
174,PPTETH,1000SHIBUSDT,
175,CMTBTC,RADUSDT,
176,CMTETH,ZRXUSDT,
177,CMTBNB,NEOUSDT,
178,XLMBTC,CVXBUSD,
179,XLMETH,BAKEUSDT,
180,XLMBNB,ALPHAUSDT,
181,CNDBTC,GMXUSDT,
182,CNDETH,IOTXUSDT,
183,CNDBNB,MAVUSDT,
184,LENDBTC,1INCHUSDT,
185,LENDETH,SOLUSDT,
186,WABIBTC,RENUSDT,
187,WABIETH,PEOPLEUSDT,
188,WABIBNB,1000PEPEUSDT,
189,LTCETH,FILUSDT,
190,LTCUSDT,AGIXUSDT,
191,LTCBNB,STXUSDT,
192,TNBBTC,FLMUSDT,
193,TNBETH,BALUSDT,
194,WAVESBTC,DUSKUSDT,
195,WAVESETH,MAGICUSDT,
196,WAVESBNB,XLMUSDT,
197,GTOBTC,ANTUSDT,
198,GTOETH,WLDUSDT,
199,GTOBNB,1000LUNCBUSD,
200,ICXBTC,TUSDT,
201,ICXETH,MKRUSDT,
202,ICXBNB,PHBBUSD,
203,OSTBTC,ICPUSDT,
204,OSTETH,RUNEUSDT,
205,OSTBNB,BLURUSDT,
206,ELFBTC,AUDIOUSDT,
207,ELFETH,GALBUSD,
208,AIONBTC,LINKUSDT,
209,AIONETH,TOMOUSDT,
210,AIONBNB,IOSTUSDT,
211,NEBLBTC,HOTUSDT,
212,NEBLBNB,AVAXUSDT,
213,BRDBTC,C98USDT,
214,BRDETH,RNDRUSDT,
215,BRDBNB,LINKBUSD,
216,MCOBNB,ARKMUSDT,
217,EDOBTC,DENTUSDT,
218,EDOETH,DOGEBUSD,
219,WINGSBTC,ANKRUSDT,
220,WINGSETH,RSRUSDT,
221,NAVBTC,HOOKUSDT,
222,NAVETH,DGBUSDT,
223,NAVBNB,SKLUSDT,
224,LUNBTC,FTTBUSD,
225,LUNETH,BCHUSDT,
226,TRIGBTC,NEARBUSD,
227,TRIGETH,DEFIUSDT,
228,TRIGBNB,DARUSDT,
229,APPCBTC,KAVAUSDT,
230,APPCETH,BLUEBIRDUSDT,
231,APPCBNB,FXSUSDT,
232,VIBEBTC,GALUSDT,
233,VIBEETH,XEMUSDT,
234,RLCBTC,ZECUSDT,
235,RLCETH,1000SHIBBUSD,
236,RLCBNB,AGLDUSDT,
237,INSBTC,SUIUSDT,
238,INSETH,WAVESUSDT,
239,PIVXBTC,AAVEUSDT,
240,PIVXBNB,MASKUSDT,
241,IOSTBTC,API3USDT,
242,IOSTETH,XTZUSDT,
243,CHATBTC,SCUSDT,
244,CHATETH,SFPUSDT,
245,STEEMBTC,NEARUSDT,
246,STEEMETH,CVXUSDT,
247,STEEMBNB,SEIUSDT,
248,NANOBTC,BTCUSDT_231229,
249,NANOETH,ETHUSDT_231229,
250,NANOBNB,,
251,VIABTC,,
252,VIAETH,,
253,VIABNB,,
254,BLZBTC,,
255,BLZETH,,
256,BLZBNB,,
257,AEBTC,,
258,AEETH,,
259,AEBNB,,
260,RPXBTC,,
261,RPXETH,,
262,RPXBNB,,
263,NCASHBTC,,
264,NCASHETH,,
265,NCASHBNB,,
266,POABTC,,
267,POAETH,,
268,POABNB,,
269,ZILBTC,,
270,ZILETH,,
271,ZILBNB,,
272,ONTBTC,,
273,ONTETH,,
274,ONTBNB,,
275,STORMBTC,,
276,STORMETH,,
277,STORMBNB,,
278,QTUMBNB,,
279,QTUMUSDT,,
280,XEMBTC,,
281,XEMETH,,
282,XEMBNB,,
283,WANBTC,,
284,WANETH,,
285,WANBNB,,
286,WPRBTC,,
287,WPRETH,,
288,QLCBTC,,
289,QLCETH,,
290,SYSBTC,,
291,SYSETH,,
292,SYSBNB,,
293,QLCBNB,,
294,GRSBTC,,
295,GRSETH,,
296,ADAUSDT,,
297,ADABNB,,
298,CLOAKBTC,,
299,CLOAKETH,,
300,GNTBTC,,
301,GNTETH,,
302,GNTBNB,,
303,LOOMBTC,,
304,LOOMETH,,
305,LOOMBNB,,
306,XRPUSDT,,
307,BCNBTC,,
308,BCNETH,,
309,BCNBNB,,
310,REPBTC,,
311,REPBNB,,
312,BTCTUSD,,
313,TUSDBTC,,
314,ETHTUSD,,
315,TUSDETH,,
316,TUSDBNB,,
317,ZENBTC,,
318,ZENETH,,
319,ZENBNB,,
320,SKYBTC,,
321,SKYETH,,
322,SKYBNB,,
323,EOSUSDT,,
324,EOSBNB,,
325,CVCBTC,,
326,CVCETH,,
327,CVCBNB,,
328,THETABTC,,
329,THETAETH,,
330,THETABNB,,
331,XRPBNB,,
332,TUSDUSDT,,
333,IOTAUSDT,,
334,XLMUSDT,,
335,IOTXBTC,,
336,IOTXETH,,
337,QKCBTC,,
338,QKCETH,,
339,AGIBTC,,
340,AGIETH,,
341,AGIBNB,,
342,NXSBTC,,
343,NXSETH,,
344,NXSBNB,,
345,ENJBNB,,
346,DATABTC,,
347,DATAETH,,
348,ONTUSDT,,
349,TRXBNB,,
350,TRXUSDT,,
351,ETCUSDT,,
352,ETCBNB,,
353,ICXUSDT,,
354,SCBTC,,
355,SCETH,,
356,NPXSBTC,,
357,NPXSETH,,
358,VENUSDT,,
359,KEYBTC,,
360,KEYETH,,
361,NASBTC,,
362,NASETH,,
363,NASBNB,,
364,MFTBTC,,
365,MFTETH,,
366,MFTBNB,,
367,DENTBTC,,
368,DENTETH,,
369,ARDRBTC,,
370,ARDRETH,,
371,ARDRBNB,,
372,NULSUSDT,,
373,HOTBTC,,
374,HOTETH,,
375,VETBTC,,
376,VETETH,,
377,VETUSDT,,
378,VETBNB,,
379,DOCKBTC,,
380,DOCKETH,,
381,POLYBTC,,
382,POLYBNB,,
383,PHXBTC,,
384,PHXETH,,
385,PHXBNB,,
386,HCBTC,,
387,HCETH,,
388,GOBTC,,
389,GOBNB,,
390,PAXBTC,,
391,PAXBNB,,
392,PAXUSDT,,
393,PAXETH,,
394,RVNBTC,,
395,DCRBTC,,
396,DCRBNB,,
397,USDCBNB,,
398,MITHBTC,,
399,MITHBNB,,
400,BCHABCBTC,,
401,BCHSVBTC,,
402,BCHABCUSDT,,
403,BCHSVUSDT,,
404,BNBPAX,,
405,BTCPAX,,
406,ETHPAX,,
407,XRPPAX,,
408,EOSPAX,,
409,XLMPAX,,
410,RENBTC,,
411,RENBNB,,
412,BNBTUSD,,
413,XRPTUSD,,
414,EOSTUSD,,
415,XLMTUSD,,
416,BNBUSDC,,
417,BTCUSDC,,
418,ETHUSDC,,
419,XRPUSDC,,
420,EOSUSDC,,
421,XLMUSDC,,
422,USDCUSDT,,
423,ADATUSD,,
424,TRXTUSD,,
425,NEOTUSD,,
426,TRXXRP,,
427,XZCXRP,,
428,PAXTUSD,,
429,USDCTUSD,,
430,USDCPAX,,
431,LINKUSDT,,
432,LINKTUSD,,
433,LINKPAX,,
434,LINKUSDC,,
435,WAVESUSDT,,
436,WAVESTUSD,,
437,WAVESPAX,,
438,WAVESUSDC,,
439,BCHABCTUSD,,
440,BCHABCPAX,,
441,BCHABCUSDC,,
442,BCHSVTUSD,,
443,BCHSVPAX,,
444,BCHSVUSDC,,
445,LTCTUSD,,
446,LTCPAX,,
447,LTCUSDC,,
448,TRXPAX,,
449,TRXUSDC,,
450,BTTBTC,,
451,BTTBNB,,
452,BTTUSDT,,
453,BNBUSDS,,
454,BTCUSDS,,
455,USDSUSDT,,
